element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Th,2,4874.332,0.003,4874.33298,0.00012
Fe,1,4874.571,0.005,4874.5712,0.0003
Th,2,4874.7128,0.0024,4874.71286,0.00019
Ni,1,4874.80,0.10,,
Fe,1,4875.1122,0.0019,4875.1121,0.0003
Th,2,4875.391,0.003,4875.38770,0.00024
Ag,1,4875.461,0.010,4875.44,0.48
Th,2,4875.513,0.003,4875.51551,0.00019
Fe,1,4875.7148,0.0019,4875.7144,0.0003
Ti,1,4875.955,0.006,4875.9600,0.0010
Cr,1,4876.0137,0.0017,4876.0153,0.0004
Ti,1,4876.234,0.003,4876.2362,0.0017
Fe,1,4876.3914,0.0019,4876.3915,0.0008
Ti,1,4876.631,0.006,4876.6365,0.0007
Pd,1,4876.7870,0.0010,4876.7868,0.0010
V,1,4876.8472,0.0015,4876.8476,0.0005
Cr,1,4876.93,0.03,4876.913,0.010
Fe,1,4877.2391,0.0007,4877.2387,0.0003
Sr,1,4877.437,0.005,4877.4364,0.0018
Fe,1,4877.550,0.004,4877.5479,0.0003
Th,2,4878.36366,0.00021,4878.36359,0.00010
V,1,4878.58,0.02,4878.5611,0.0003
Th,2,4878.783,0.003,4878.7786,0.0003
Y,1,,,4878.8427,0.0008
Th,2,4878.9192,0.0021,4878.9098,0.0004
Fe,1,4878.9683,0.0019,4878.9665,0.0003
Ba,1,4879.009,0.010,4879.009+,0.003
Th,2,4879.066,0.003,4879.06605,0.00017
Th,2,4879.17518,0.00024,4879.17507,0.00010
Cr,1,4879.41,0.03,4879.3789,0.0007
Ca,1,4879.49,0.10,4879.488,0.010
Fe,1,4879.5732,0.0007,4879.5731,0.0005
In,1,4879.73,0.10,4879.75,0.10
Pr,2,4880.484,0.010,4880.47+,0.03
Th,2,4880.5192,0.0004,4880.51937,0.00007
Th,2,4880.549,0.003,4880.55377,0.00017
Th,2,4880.71248,0.00024,4880.71258,0.00012
Y,1,4881.015,0.010,4881.0150,0.0008
Na,6,,,4890,30
Cr,1,4881.40,0.03,4881.4053,0.0004
Th,2,4881.5948,0.0007,4881.59509,0.00014
Ti,1,4881.648,0.003,4881.6486,0.0014
Fe,1,4881.890,0.004,4881.8869,0.0003
