element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
La,2,5157.43,0.10,5157.43+,0.04
Ni,1,,,5157.980,0.010
Zr,1,5158.00,0.10,,
Cu,1,5158.36,0.06,5158.36,0.03
Zr,1,5158.67,0.10,,
Fe,1,5159.0573,0.0008,5159.0571,0.0004
Th,2,5159.1562,0.0024,5159.15658,0.00021
V,1,5159.323,0.002,5159.3231,0.0008
Th,2,5159.781,0.004,5159.77584,0.00024
Ba,1,5159.876,0.010,5159.876+,0.004
Ru,1,5160.00,0.10,5159.99+,0.04
Sn,1,5160.1536,0.0021,5160.1540,0.0025
U,2,5160.32,0.10,,
Th,2,5160.361,0.003,5160.3689,0.0019
Cr,1,5160.465,0.003,5160.46501,0.00021
Fe,1,,,5160.5674,0.0004
Th,2,5160.69321,0.00013,5160.69339,0.00008
Cr,1,5160.77,0.03,5160.751,0.016
Zr,1,5160.99,0.10,,
Dy,2,5161.03,0.10,,
Fe,1,5161.297,0.004,5161.2907,0.0004
Pr,2,5161.74,0.10,5161.74+,0.04
Cr,1,5161.763,0.002,5161.7653,0.0006
Fe,1,5162.2725,0.0008,5162.2721,0.0004
Na,1,5162.5,0.2,5162.12,0.13
Mo,1,5163.180,0.010,5163.179+,0.004
La,2,5163.62,0.10,5163.61+,0.04
Pd,1,5163.8404,0.0010,5163.8405,0.0010
Dy,2,5164.12,0.10,,
Gd,2,5164.54,0.10,,
Fe,1,5164.5503,0.0021,5164.5514,0.0004
Er,2,5164.77,0.10,,
V,1,5164.865,0.006,5164.8559,0.0006
V,1,5164.865,0.006,5164.8641,0.0016
Fe,1,5164.9102,0.0021,5164.9111,0.0008
Nd,2,5165.140,0.010,5165.129+,0.004
Fe,1,5165.4103,0.0008,5165.4099,0.0004
Sr,1,5165.486,0.005,5165.486,0.005
Zr,1,5165.96,0.10,,
V,1,5166.154,0.004,5166.1549,0.0008
Cr,1,5166.2168,0.0003,5166.21711,0.00019
Fe,1,5166.2819,0.0008,5166.2817,0.0003
V,1,5166.781,0.003,5166.7823,0.0003
Th,2,5166.8789,0.0007,5166.87896,0.00011
Th,2,5166.9236,0.0008,5166.9221,0.0003
Th,2,5166.9236,0.0008,5166.92492,0.00016
Mg,1,5167.3216,0.0010,5167.3213,0.0010
Fe,1,5167.4881,0.0008,5167.4879,0.0004
Fe,1,5167.711,0.004,5167.7177,0.0004
Mo,1,5167.746,0.010,5167.745+,0.004
Th,2,5167.8779,0.0019,5167.8782,0.0003
Cr,1,5167.9506,0.0019,5167.9507,0.0004
